2,984873.250000,984942,984688,984653,984526.000000
4,878198.750000,876162,880993,878642,870105.500000
6,875168.166667,872953,873016,873901,871871.750000
8,1100873.875000,1.1089e+06,1.04723e+06,1.10384e+06,1104143.125000
10,1119795.100000,1.12489e+06,1.12395e+06,1.02652e+06,1123082.500000
