0.033182,0.265457,2428078.250000,0.067221,34808.250000
0.034727,0.277817,1963117.375000,0.070351,16662.750000
0.046967,0.375732,2129697.375000,0.095145,45226.500000
0.047945,0.383560,1963922.500000,0.097128,29255.500000
0.048142,0.385139,3056307.875000,0.097527,52721.500000
0.051807,0.414459,2379538.875000,0.104952,175813.375000
0.052340,0.418716,3654006.875000,0.106030,65834.000000
0.062819,0.502556,3985740.875000,0.127260,73113.000000
0.065927,0.527412,2280975.125000,0.133555,75959.375000
0.070484,0.563873,3404438.625000,0.142788,51042.250000
0.070707,0.565659,3793376.125000,0.143240,175316.750000
0.073583,0.588661,1908519.500000,0.149065,32928.250000
0.082380,0.659042,1610577.250000,0.166887,11709.750000
0.087556,0.700447,1368718.250000,0.177372,27553.000000
0.088852,0.710815,1646685.000000,0.179997,143745.375000
0.089144,0.713150,1519343.125000,0.180588,32680.375000
0.092680,0.741440,3934543.375000,0.187752,9547.250000
0.093015,0.744118,1597420.125000,0.188430,11016.250000
0.093461,0.747688,2844104.750000,0.189334,156695.625000
0.094371,0.754967,1306492.500000,0.191177,7496.875000
0.094491,0.755928,1542480.500000,0.191421,9868.250000
0.094508,0.756065,1302955.375000,0.191456,7551.250000
0.110275,0.882202,1854280.125000,0.223397,17083.375000
0.119974,0.959793,2219468.375000,0.243045,23637.625000
0.124858,0.998863,1654504.625000,0.252939,21920.625000
0.140453,1.123627,1550017.750000,0.284532,14855.125000
0.144273,1.154182,1721702.375000,0.292269,15699.250000
0.146178,1.169426,2214463.750000,0.296130,21137.875000
0.146788,1.174301,1989177.750000,0.297364,15125.250000
0.162529,1.300232,2189885.500000,0.329253,17161.250000
