2,1398.250000,619.25,493128,1862,1862.750000
4,680376.875000,1304,589784,1818.44,493350.500000
6,592061.083333,1708.79,455823,456629,330213.750000
8,770995.437500,232478,494906,248562,345765.625000
10,715980.350000,314962,488758,420267,524211.550000
